,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Asked,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
User Picked,6,10,10,10,12,12,6,12,12,6,10,8,12,10,12,6,6,10,12,12,10,8,10,6
Effort,0.101122324,0.336766622,0.235246029,0.336766622,0.157506541,0.195575685,0.206900326,0.195575685,0.157506541,0.101122324,0.336766622,0.220449347,0.157506541,0.235246029,0.195575685,0.206900326,0.101122324,0.235246029,0.195575685,0.195575685,0.336766622,0.206900326,0.336766622,0.206900326
Selected Points,0.833333333,0.8,0.8,0.8,0.666666667,0.75,0.833333333,0.75,0.666666667,0.833333333,0.8,0.875,0.666666667,0.8,0.75,0.833333333,0.833333333,0.8,0.75,0.75,0.8,0.875,0.8,0.833333333
Risk,0.001877029,0.017620533,0.053035057,0.017620533,0.001632783,0.016235957,0.011680564,0.016235957,0.001632783,0.001877029,0.017620533,0.023345169,0.001632783,0.053035057,0.016235957,0.011680564,0.001877029,0.053035057,0.016235957,0.016235957,0.017620533,0.011680564,0.017620533,0.011680564
Defects,0.00098281,0.014016546,0.068372082,0.014016546,0.001028111,0.010503137,0.010018597,0.010503137,0.001028111,0.00098281,0.014016546,0.020952377,0.001028111,0.068372082,0.010503137,0.010018597,0.00098281,0.068372082,0.010503137,0.010503137,0.014016546,0.010018597,0.014016546,0.010018597
Months,0.035087719,0.052631579,0.298245614,0.052631579,0.052631579,0.01754386,0,0.01754386,0.052631579,0.035087719,0.052631579,0.263157895,0.052631579,0.298245614,0.01754386,0,0.035087719,0.298245614,0.01754386,0.01754386,0.052631579,0,0.052631579,0
Score,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
Time,4.891001701,4.75702548,6.54104805,5.518998623,5.306060076,5.511034966,5.351026773,5.83453846,5.177316189,5.198265076,5.42759943,5.538030386,5.327549458,6.611536741,5.826021671,5.563186169,5.484549284,5.602531195,5.595715046,5.352009296,5.484116316,5.651540518,5.393096447,5.284574032

