,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Asked,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
User Picked,12,13,12,15,12,13,12,14,13,14,15,15,15,13,15,14,13,12,13,12,13,15,15,14,12,12,12,14,14,13,12
Effort,0.301865899,0.301865899,0.186016403,0.250994912,0.252407366,0.282091456,0.250994912,0.186016403,0.250994912,0.250994912,0.287242965,0.278687643,0.250994912,0.186016403,0.250994912,0.250994912,0.295761086,0.173416099,0.186016403,0.173416099,0.143942818,0.278687643,0.250994912,0.186016403,0.252407366,0.173416099,0.301865899,0.250994912,0.278687643,0.282091456,0.173416099
Selected Points,0.75,0.692307692,0.75,0.666666667,0.75,0.692307692,0.75,0.642857143,0.692307692,0.857142857,0.666666667,0.666666667,0.8,0.692307692,0.8,0.857142857,0.692307692,0.75,0.692307692,0.75,0.692307692,0.666666667,0.666666667,0.642857143,0.75,0.75,0.75,0.714285714,0.714285714,0.692307692,0.75
Risk,0.016816962,0.016816962,0.00313532,0.024438973,0.025192931,0.059289043,0.024438973,0.00313532,0.024438973,0.024438973,0.123285112,0.013284717,0.024438973,0.00313532,0.024438973,0.024438973,0.078827623,0.006585329,0.00313532,0.006585329,0.003588847,0.013284717,0.024438973,0.00313532,0.025192931,0.006585329,0.016816962,0.024438973,0.013284717,0.059289043,0.006585329
Defects,0.015661228,0.015661228,0.000756669,0.005770071,0.00869323,0.027747153,0.005770071,0.000756669,0.005770071,0.005770071,0.007726987,0.003965298,0.005770071,0.000756669,0.005770071,0.005770071,0.051041621,0.002265351,0.000756669,0.002265351,0.001847599,0.003965298,0.005770071,0.000756669,0.00869323,0.002265351,0.015661228,0.005770071,0.003965298,0.027747153,0.002265351
Months,0.048387097,0.048387097,0.096774194,0.032258065,0.016129032,0.064516129,0.032258065,0.096774194,0.032258065,0.032258065,0.096774194,0,0.032258065,0.096774194,0.032258065,0.032258065,0.064516129,0.112903226,0.096774194,0.112903226,0.112903226,0,0.032258065,0.096774194,0.016129032,0.112903226,0.048387097,0.032258065,0,0.064516129,0.112903226
Score,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
Time,5.967514038,5.76250124,6.013030291,5.98206234,5.79402709,5.869399786,5.70105505,5.934889078,5.855942965,6.710041285,6.034165144,5.764059305,5.829998493,5.795001984,5.376994133,10.33999872,10.7919991,9.518999577,5.587961912,5.954000711,5.817999125,5.55000186,5.161037683,5.72700119,6.659737349,6.337028503,5.694033384,5.652087927,6.752714396,9.949964285,7.212239504

